 China/East Asia - North America West Coast - FBX01
Date from 13-Dec-19 - to 03-Dec-21
(c) Freightos Limited. Data in this file is copyright and licensed as 'Freightos Data' under the FBX Data License Agreement (https://www.freightos.com/fbx-data-license-agreement/)


Date, Price 
13-Dec-19, 1500
20-Dec-19, 1455
27-Dec-19, 1371
03-Jan-20, 1371
10-Jan-20, 1520
17-Jan-20, 1573
24-Jan-20, 1515
31-Jan-20, 1519
07-Feb-20, 1507
14-Feb-20, 1486
21-Feb-20, 1344
28-Feb-20, 1300
06-Mar-20, 1331
13-Mar-20, 1324
20-Mar-20, 1460
27-Mar-20, 1502
03-Apr-20, 1530
10-Apr-20, 1607
17-Apr-20, 1584
24-Apr-20, 1515
01-May-20, 1535
08-May-20, 1645
15-May-20, 1723
22-May-20, 1669
29-May-20, 1638
05-Jun-20, 1866
12-Jun-20, 2167
19-Jun-20, 2464
26-Jun-20, 2604
03-Jul-20, 2634
10-Jul-20, 2811
17-Jul-20, 2763
24-Jul-20, 2711
31-Jul-20, 2672
07-Aug-20, 2912
14-Aug-20, 3064
21-Aug-20, 3270
28-Aug-20, 3335
04-Sep-20, 3500
11-Sep-20, 3716
18-Sep-20, 3744
25-Sep-20, 3884
02-Oct-20, 3887
09-Oct-20, 3863
16-Oct-20, 3847
23-Oct-20, 3844
30-Oct-20, 3843
06-Nov-20, 3852
13-Nov-20, 3846
20-Nov-20, 3874
27-Nov-20, 3870
04-Dec-20, 3874
11-Dec-20, 3878
18-Dec-20, 3879
25-Dec-20, 3876
01-Jan-21, 4222
08-Jan-21, 4317
15-Jan-21, 5205
22-Jan-21, 4810
29-Jan-21, 5581
05-Feb-21, 5532
12-Feb-21, 5291
19-Feb-21, 5705
26-Feb-21, 5563
05-Mar-21, 5185
12-Mar-21, 5680
19-Mar-21, 5224
26-Mar-21, 5637
02-Apr-21, 5898
09-Apr-21, 5893
16-Apr-21, 5900
23-Apr-21, 5939
30-Apr-21, 5939
07-May-21, 6186
14-May-21, 7148
21-May-21, 7285
28-May-21, 7947
04-Jun-21, 8062
11-Jun-21, 8545
18-Jun-21, 9070
25-Jun-21, 8852
02-Jul-21, 8981
09-Jul-21, 10140
16-Jul-21, 10737
23-Jul-21, 14402
30-Jul-21, 18346
06-Aug-21, 18555
13-Aug-21, 15809
20-Aug-21, 17507
27-Aug-21, 18425
03-Sep-21, 19040
10-Sep-21, 20586
17-Sep-21, 20143
24-Sep-21, 19175
01-Oct-21, 17970
08-Oct-21, 16004
15-Oct-21, 17377
22-Oct-21, 16884
29-Oct-21, 17478
05-Nov-21, 18730
12-Nov-21, 14885
19-Nov-21, 14185
26-Nov-21, 14677
03-Dec-21, 14825
