 North America West Coast - China/East Asia - FBX02
Date from 13-Dec-19 - to 03-Dec-21
(c) Freightos Limited. Data in this file is copyright and licensed as 'Freightos Data' under the FBX Data License Agreement (https://www.freightos.com/fbx-data-license-agreement/)


Date, Price 
13-Dec-19, 463
20-Dec-19, 491
27-Dec-19, 466
03-Jan-20, 458
10-Jan-20, 421
17-Jan-20, 403
24-Jan-20, 410
31-Jan-20, 394
07-Feb-20, 444
14-Feb-20, 417
21-Feb-20, 363
28-Feb-20, 387
06-Mar-20, 407
13-Mar-20, 370
20-Mar-20, 353
27-Mar-20, 363
03-Apr-20, 416
10-Apr-20, 445
17-Apr-20, 441
24-Apr-20, 440
01-May-20, 465
08-May-20, 467
15-May-20, 444
22-May-20, 442
29-May-20, 463
05-Jun-20, 471
12-Jun-20, 475
19-Jun-20, 506
26-Jun-20, 498
03-Jul-20, 519
10-Jul-20, 489
17-Jul-20, 450
24-Jul-20, 445
31-Jul-20, 440
07-Aug-20, 442
14-Aug-20, 407
21-Aug-20, 419
28-Aug-20, 423
04-Sep-20, 429
11-Sep-20, 418
18-Sep-20, 417
25-Sep-20, 413
02-Oct-20, 406
09-Oct-20, 401
16-Oct-20, 400
23-Oct-20, 405
30-Oct-20, 410
06-Nov-20, 407
13-Nov-20, 396
20-Nov-20, 391
27-Nov-20, 406
04-Dec-20, 495
11-Dec-20, 520
18-Dec-20, 518
25-Dec-20, 518
01-Jan-21, 522
08-Jan-21, 653
15-Jan-21, 806
22-Jan-21, 887
29-Jan-21, 887
05-Feb-21, 885
12-Feb-21, 806
19-Feb-21, 778
26-Feb-21, 744
05-Mar-21, 762
12-Mar-21, 715
19-Mar-21, 674
26-Mar-21, 703
02-Apr-21, 738
09-Apr-21, 821
16-Apr-21, 894
23-Apr-21, 871
30-Apr-21, 798
07-May-21, 812
14-May-21, 813
21-May-21, 796
28-May-21, 814
04-Jun-21, 972
11-Jun-21, 1239
18-Jun-21, 1107
25-Jun-21, 990
02-Jul-21, 955
09-Jul-21, 986
16-Jul-21, 1067
23-Jul-21, 1100
30-Jul-21, 1144
06-Aug-21, 1130
13-Aug-21, 988
20-Aug-21, 934
27-Aug-21, 914
03-Sep-21, 919
10-Sep-21, 907
17-Sep-21, 923
24-Sep-21, 900
01-Oct-21, 907
08-Oct-21, 1020
15-Oct-21, 1064
22-Oct-21, 1064
29-Oct-21, 1068
05-Nov-21, 1098
12-Nov-21, 941
19-Nov-21, 865
26-Nov-21, 853
03-Dec-21, 887
