 China/East Asia - North America East Coast - FBX03
Date from 13-Dec-19 - to 03-Dec-21
(c) Freightos Limited. Data in this file is copyright and licensed as 'Freightos Data' under the FBX Data License Agreement (https://www.freightos.com/fbx-data-license-agreement/)


Date, Price 
13-Dec-19, 2787
20-Dec-19, 2749
27-Dec-19, 2619
03-Jan-20, 2649
10-Jan-20, 2891
17-Jan-20, 2956
24-Jan-20, 2952
31-Jan-20, 2856
07-Feb-20, 2847
14-Feb-20, 2831
21-Feb-20, 2621
28-Feb-20, 2559
06-Mar-20, 2560
13-Mar-20, 2541
20-Mar-20, 2693
27-Mar-20, 2730
03-Apr-20, 2817
10-Apr-20, 2780
17-Apr-20, 2688
24-Apr-20, 2680
01-May-20, 2665
08-May-20, 2719
15-May-20, 2731
22-May-20, 2604
29-May-20, 2580
05-Jun-20, 2700
12-Jun-20, 2873
19-Jun-20, 3171
26-Jun-20, 3273
03-Jul-20, 3350
10-Jul-20, 3441
17-Jul-20, 3366
24-Jul-20, 3285
31-Jul-20, 3232
07-Aug-20, 3411
14-Aug-20, 3467
21-Aug-20, 3697
28-Aug-20, 3876
04-Sep-20, 4227
11-Sep-20, 4469
18-Sep-20, 4544
25-Sep-20, 4716
02-Oct-20, 4685
09-Oct-20, 4684
16-Oct-20, 4681
23-Oct-20, 4674
30-Oct-20, 4662
06-Nov-20, 4676
13-Nov-20, 4735
20-Nov-20, 4778
27-Nov-20, 4908
04-Dec-20, 4913
11-Dec-20, 4925
18-Dec-20, 4947
25-Dec-20, 4952
01-Jan-21, 5394
08-Jan-21, 5560
15-Jan-21, 6623
22-Jan-21, 6097
29-Jan-21, 6178
05-Feb-21, 6515
12-Feb-21, 6285
19-Feb-21, 6719
26-Feb-21, 6751
05-Mar-21, 6295
12-Mar-21, 6447
19-Mar-21, 6208
26-Mar-21, 6764
02-Apr-21, 7027
09-Apr-21, 7152
16-Apr-21, 7487
23-Apr-21, 7256
30-Apr-21, 7085
07-May-21, 7424
14-May-21, 8538
21-May-21, 8936
28-May-21, 9515
04-Jun-21, 10393
11-Jun-21, 10410
18-Jun-21, 11086
25-Jun-21, 11246
02-Jul-21, 12049
09-Jul-21, 13966
16-Jul-21, 14594
23-Jul-21, 17045
30-Jul-21, 19620
06-Aug-21, 20636
13-Aug-21, 17584
20-Aug-21, 19098
27-Aug-21, 20057
03-Sep-21, 20615
10-Sep-21, 22173
17-Sep-21, 21823
24-Sep-21, 21804
01-Oct-21, 20825
08-Oct-21, 19421
15-Oct-21, 20695
22-Oct-21, 20291
29-Oct-21, 20115
05-Nov-21, 19895
12-Nov-21, 16671
19-Nov-21, 16124
26-Nov-21, 16633
03-Dec-21, 16772
