 North America East Coast - China/East Asia - FBX04
Date from 13-Dec-19 - to 03-Dec-21
(c) Freightos Limited. Data in this file is copyright and licensed as 'Freightos Data' under the FBX Data License Agreement (https://www.freightos.com/fbx-data-license-agreement/)


Date, Price 
13-Dec-19, 620
20-Dec-19, 653
27-Dec-19, 641
03-Jan-20, 729
10-Jan-20, 850
17-Jan-20, 750
24-Jan-20, 770
31-Jan-20, 460
07-Feb-20, 564
14-Feb-20, 532
21-Feb-20, 416
28-Feb-20, 452
06-Mar-20, 475
13-Mar-20, 440
20-Mar-20, 437
27-Mar-20, 442
03-Apr-20, 471
10-Apr-20, 476
17-Apr-20, 466
24-Apr-20, 472
01-May-20, 516
08-May-20, 527
15-May-20, 514
22-May-20, 501
29-May-20, 514
05-Jun-20, 534
12-Jun-20, 589
19-Jun-20, 589
26-Jun-20, 571
03-Jul-20, 577
10-Jul-20, 521
17-Jul-20, 481
24-Jul-20, 480
31-Jul-20, 471
07-Aug-20, 465
14-Aug-20, 484
21-Aug-20, 494
28-Aug-20, 481
04-Sep-20, 498
11-Sep-20, 565
18-Sep-20, 561
25-Sep-20, 483
02-Oct-20, 455
09-Oct-20, 472
16-Oct-20, 474
23-Oct-20, 478
30-Oct-20, 496
06-Nov-20, 504
13-Nov-20, 531
20-Nov-20, 482
27-Nov-20, 490
04-Dec-20, 585
11-Dec-20, 600
18-Dec-20, 617
25-Dec-20, 617
01-Jan-21, 624
08-Jan-21, 715
15-Jan-21, 926
22-Jan-21, 949
29-Jan-21, 952
05-Feb-21, 952
12-Feb-21, 842
19-Feb-21, 797
26-Feb-21, 759
05-Mar-21, 866
12-Mar-21, 911
19-Mar-21, 882
26-Mar-21, 834
02-Apr-21, 810
09-Apr-21, 901
16-Apr-21, 995
23-Apr-21, 997
30-Apr-21, 954
07-May-21, 903
14-May-21, 817
21-May-21, 923
28-May-21, 940
04-Jun-21, 1148
11-Jun-21, 1421
18-Jun-21, 1281
25-Jun-21, 1127
02-Jul-21, 1048
09-Jul-21, 1025
16-Jul-21, 1133
23-Jul-21, 1173
30-Jul-21, 1208
06-Aug-21, 1208
13-Aug-21, 1024
20-Aug-21, 946
27-Aug-21, 929
03-Sep-21, 1025
10-Sep-21, 925
17-Sep-21, 923
24-Sep-21, 945
01-Oct-21, 920
08-Oct-21, 1036
15-Oct-21, 1169
22-Oct-21, 1160
29-Oct-21, 1189
05-Nov-21, 1237
12-Nov-21, 1035
19-Nov-21, 896
26-Nov-21, 869
03-Dec-21, 866
