 China/East Asia - North Europe - FBX11
Date from 13-Dec-19 - to 03-Dec-21
(c) Freightos Limited. Data in this file is copyright and licensed as 'Freightos Data' under the FBX Data License Agreement (https://www.freightos.com/fbx-data-license-agreement/)


Date, Price 
13-Dec-19, 1600
20-Dec-19, 1761
27-Dec-19, 1872
03-Jan-20, 1888
10-Jan-20, 2010
17-Jan-20, 2095
24-Jan-20, 2014
31-Jan-20, 2051
07-Feb-20, 1822
14-Feb-20, 1752
21-Feb-20, 1638
28-Feb-20, 1600
06-Mar-20, 1532
13-Mar-20, 1453
20-Mar-20, 1448
27-Mar-20, 1478
03-Apr-20, 1437
10-Apr-20, 1399
17-Apr-20, 1412
24-Apr-20, 1381
01-May-20, 1406
08-May-20, 1441
15-May-20, 1415
22-May-20, 1475
29-May-20, 1470
05-Jun-20, 1584
12-Jun-20, 1650
19-Jun-20, 1630
26-Jun-20, 1614
03-Jul-20, 1680
10-Jul-20, 1732
17-Jul-20, 1724
24-Jul-20, 1697
31-Jul-20, 1679
07-Aug-20, 1704
14-Aug-20, 1695
21-Aug-20, 1705
28-Aug-20, 1705
04-Sep-20, 1781
11-Sep-20, 1867
18-Sep-20, 2052
25-Sep-20, 2205
02-Oct-20, 2218
09-Oct-20, 2160
16-Oct-20, 2146
23-Oct-20, 2121
30-Oct-20, 2119
06-Nov-20, 2214
13-Nov-20, 2265
20-Nov-20, 2504
27-Nov-20, 2706
04-Dec-20, 3443
11-Dec-20, 3787
18-Dec-20, 4434
25-Dec-20, 4961
01-Jan-21, 5923
08-Jan-21, 7294
15-Jan-21, 7701
22-Jan-21, 7793
29-Jan-21, 7827
05-Feb-21, 7939
12-Feb-21, 8159
19-Feb-21, 8430
26-Feb-21, 8308
05-Mar-21, 8004
12-Mar-21, 7946
19-Mar-21, 7665
26-Mar-21, 7485
02-Apr-21, 7373
09-Apr-21, 7294
16-Apr-21, 7354
23-Apr-21, 7779
30-Apr-21, 7740
07-May-21, 8151
14-May-21, 8303
21-May-21, 8880
28-May-21, 9478
04-Jun-21, 10492
11-Jun-21, 11006
18-Jun-21, 11068
25-Jun-21, 10979
02-Jul-21, 11359
09-Jul-21, 12377
16-Jul-21, 13188
23-Jul-21, 13208
30-Jul-21, 13706
06-Aug-21, 13819
13-Aug-21, 14146
20-Aug-21, 14057
27-Aug-21, 13889
03-Sep-21, 13869
10-Sep-21, 14221
17-Sep-21, 14378
24-Sep-21, 14626
01-Oct-21, 14703
08-Oct-21, 14493
15-Oct-21, 14469
22-Oct-21, 14255
29-Oct-21, 14255
05-Nov-21, 14219
12-Nov-21, 14219
19-Nov-21, 14335
26-Nov-21, 14368
03-Dec-21, 14345
