 North Europe - China/East Asia - FBX12
Date from 13-Dec-19 - to 03-Dec-21
(c) Freightos Limited. Data in this file is copyright and licensed as 'Freightos Data' under the FBX Data License Agreement (https://www.freightos.com/fbx-data-license-agreement/)


Date, Price 
13-Dec-19, 913
20-Dec-19, 936
27-Dec-19, 941
03-Jan-20, 928
10-Jan-20, 869
17-Jan-20, 841
24-Jan-20, 841
31-Jan-20, 763
07-Feb-20, 706
14-Feb-20, 688
21-Feb-20, 664
28-Feb-20, 690
06-Mar-20, 1008
13-Mar-20, 1028
20-Mar-20, 1031
27-Mar-20, 1079
03-Apr-20, 1214
10-Apr-20, 1396
17-Apr-20, 1446
24-Apr-20, 1424
01-May-20, 1422
08-May-20, 1421
15-May-20, 1386
22-May-20, 1386
29-May-20, 1374
05-Jun-20, 1434
12-Jun-20, 1492
19-Jun-20, 1491
26-Jun-20, 1491
03-Jul-20, 1431
10-Jul-20, 1403
17-Jul-20, 1395
24-Jul-20, 1395
31-Jul-20, 1395
07-Aug-20, 1357
14-Aug-20, 1251
21-Aug-20, 1234
28-Aug-20, 1221
04-Sep-20, 1133
11-Sep-20, 1056
18-Sep-20, 1075
25-Sep-20, 1075
02-Oct-20, 1057
09-Oct-20, 1013
16-Oct-20, 989
23-Oct-20, 989
30-Oct-20, 1005
06-Nov-20, 1032
13-Nov-20, 1104
20-Nov-20, 1161
27-Nov-20, 1137
04-Dec-20, 1259
11-Dec-20, 1368
18-Dec-20, 1375
25-Dec-20, 1375
01-Jan-21, 1372
08-Jan-21, 1339
15-Jan-21, 1395
22-Jan-21, 1421
29-Jan-21, 1461
05-Feb-21, 1491
12-Feb-21, 1488
19-Feb-21, 1488
26-Feb-21, 1495
05-Mar-21, 1483
12-Mar-21, 1553
19-Mar-21, 1529
26-Mar-21, 1530
02-Apr-21, 1534
09-Apr-21, 1530
16-Apr-21, 1516
23-Apr-21, 1518
30-Apr-21, 1545
07-May-21, 1731
14-May-21, 1749
21-May-21, 1753
28-May-21, 1753
04-Jun-21, 1742
11-Jun-21, 1680
18-Jun-21, 1625
25-Jun-21, 1625
02-Jul-21, 1609
09-Jul-21, 1594
16-Jul-21, 1608
23-Jul-21, 1617
30-Jul-21, 1630
06-Aug-21, 1639
13-Aug-21, 1537
20-Aug-21, 1549
27-Aug-21, 1569
03-Sep-21, 1562
10-Sep-21, 1518
17-Sep-21, 1501
24-Sep-21, 1478
01-Oct-21, 1469
08-Oct-21, 1358
15-Oct-21, 1332
22-Oct-21, 1332
29-Oct-21, 1332
05-Nov-21, 1294
12-Nov-21, 1298
19-Nov-21, 1328
26-Nov-21, 1324
03-Dec-21, 1301
