 China/East Asia - Mediterranean - FBX13
Date from 13-Dec-19 - to 03-Dec-21
(c) Freightos Limited. Data in this file is copyright and licensed as 'Freightos Data' under the FBX Data License Agreement (https://www.freightos.com/fbx-data-license-agreement/)


Date, Price 
13-Dec-19, 1644
20-Dec-19, 1826
27-Dec-19, 2099
03-Jan-20, 2187
10-Jan-20, 2429
17-Jan-20, 2476
24-Jan-20, 2427
31-Jan-20, 2420
07-Feb-20, 2356
14-Feb-20, 2332
21-Feb-20, 2285
28-Feb-20, 2129
06-Mar-20, 2130
13-Mar-20, 2101
20-Mar-20, 2108
27-Mar-20, 2107
03-Apr-20, 2053
10-Apr-20, 1985
17-Apr-20, 1941
24-Apr-20, 1901
01-May-20, 1910
08-May-20, 1959
15-May-20, 1977
22-May-20, 1965
29-May-20, 1935
05-Jun-20, 1967
12-Jun-20, 2010
19-Jun-20, 2026
26-Jun-20, 2031
03-Jul-20, 2071
10-Jul-20, 2092
17-Jul-20, 1911
24-Jul-20, 1789
31-Jul-20, 1785
07-Aug-20, 1795
14-Aug-20, 1799
21-Aug-20, 1770
28-Aug-20, 1818
04-Sep-20, 1968
11-Sep-20, 2026
18-Sep-20, 2206
25-Sep-20, 2270
02-Oct-20, 2285
09-Oct-20, 2301
16-Oct-20, 2325
23-Oct-20, 2355
30-Oct-20, 2350
06-Nov-20, 2400
13-Nov-20, 2431
20-Nov-20, 2737
27-Nov-20, 2955
04-Dec-20, 3470
11-Dec-20, 3954
18-Dec-20, 5102
25-Dec-20, 5611
01-Jan-21, 5935
08-Jan-21, 7206
15-Jan-21, 7496
22-Jan-21, 7900
29-Jan-21, 8087
05-Feb-21, 7764
12-Feb-21, 7653
19-Feb-21, 7893
26-Feb-21, 7962
05-Mar-21, 7926
12-Mar-21, 8066
19-Mar-21, 8001
26-Mar-21, 7503
02-Apr-21, 7414
09-Apr-21, 7350
16-Apr-21, 7517
23-Apr-21, 7917
30-Apr-21, 8053
07-May-21, 8931
14-May-21, 9393
21-May-21, 9354
28-May-21, 10100
04-Jun-21, 10241
11-Jun-21, 10696
18-Jun-21, 11082
25-Jun-21, 11098
02-Jul-21, 11358
09-Jul-21, 11702
16-Jul-21, 11924
23-Jul-21, 11778
30-Jul-21, 11931
06-Aug-21, 12344
13-Aug-21, 12322
20-Aug-21, 12409
27-Aug-21, 12902
03-Sep-21, 13013
10-Sep-21, 13231
17-Sep-21, 12997
24-Sep-21, 13031
01-Oct-21, 13121
08-Oct-21, 13126
15-Oct-21, 13361
22-Oct-21, 13362
29-Oct-21, 13321
05-Nov-21, 13143
12-Nov-21, 13168
19-Nov-21, 13014
26-Nov-21, 13014
03-Dec-21, 13211
