 Mediterranean - China/East Asia - FBX14
Date from 13-Dec-19 - to 03-Dec-21
(c) Freightos Limited. Data in this file is copyright and licensed as 'Freightos Data' under the FBX Data License Agreement (https://www.freightos.com/fbx-data-license-agreement/)


Date, Price 
13-Dec-19, 497
20-Dec-19, 552
27-Dec-19, 589
03-Jan-20, 629
10-Jan-20, 648
17-Jan-20, 645
24-Jan-20, 638
31-Jan-20, 503
07-Feb-20, 463
14-Feb-20, 460
21-Feb-20, 450
28-Feb-20, 455
06-Mar-20, 547
13-Mar-20, 717
20-Mar-20, 553
27-Mar-20, 549
03-Apr-20, 580
10-Apr-20, 821
17-Apr-20, 942
24-Apr-20, 939
01-May-20, 941
08-May-20, 911
15-May-20, 916
22-May-20, 924
29-May-20, 861
05-Jun-20, 1001
12-Jun-20, 933
19-Jun-20, 937
26-Jun-20, 967
03-Jul-20, 980
10-Jul-20, 959
17-Jul-20, 939
24-Jul-20, 943
31-Jul-20, 951
07-Aug-20, 975
14-Aug-20, 981
21-Aug-20, 986
28-Aug-20, 986
04-Sep-20, 978
11-Sep-20, 962
18-Sep-20, 957
25-Sep-20, 957
02-Oct-20, 956
09-Oct-20, 974
16-Oct-20, 945
23-Oct-20, 945
30-Oct-20, 950
06-Nov-20, 1049
13-Nov-20, 1086
20-Nov-20, 1130
27-Nov-20, 1139
04-Dec-20, 1267
11-Dec-20, 1403
18-Dec-20, 1402
25-Dec-20, 1443
01-Jan-21, 1445
08-Jan-21, 1443
15-Jan-21, 1468
22-Jan-21, 1435
29-Jan-21, 1463
05-Feb-21, 1449
12-Feb-21, 1392
19-Feb-21, 1393
26-Feb-21, 1375
05-Mar-21, 1472
12-Mar-21, 1524
19-Mar-21, 1524
26-Mar-21, 1524
02-Apr-21, 1521
09-Apr-21, 1506
16-Apr-21, 1513
23-Apr-21, 1538
30-Apr-21, 1558
07-May-21, 1526
14-May-21, 1602
21-May-21, 1603
28-May-21, 1594
04-Jun-21, 1591
11-Jun-21, 1613
18-Jun-21, 1647
25-Jun-21, 1647
02-Jul-21, 1646
09-Jul-21, 1641
16-Jul-21, 1668
23-Jul-21, 1668
30-Jul-21, 1668
06-Aug-21, 1654
13-Aug-21, 1589
20-Aug-21, 1546
27-Aug-21, 1528
03-Sep-21, 1521
10-Sep-21, 1437
17-Sep-21, 1426
24-Sep-21, 1423
01-Oct-21, 1416
08-Oct-21, 1390
15-Oct-21, 1418
22-Oct-21, 1447
29-Oct-21, 1527
05-Nov-21, 1530
12-Nov-21, 1547
19-Nov-21, 1537
26-Nov-21, 1512
03-Dec-21, 1498
