 North America East Coast - North Europe - FBX21
Date from 13-Dec-19 - to 03-Dec-21
(c) Freightos Limited. Data in this file is copyright and licensed as 'Freightos Data' under the FBX Data License Agreement (https://www.freightos.com/fbx-data-license-agreement/)


Date, Price 
13-Dec-19, 480
20-Dec-19, 485
27-Dec-19, 513
03-Jan-20, 534
10-Jan-20, 515
17-Jan-20, 533
24-Jan-20, 530
31-Jan-20, 479
07-Feb-20, 473
14-Feb-20, 477
21-Feb-20, 485
28-Feb-20, 471
06-Mar-20, 425
13-Mar-20, 403
20-Mar-20, 437
27-Mar-20, 420
03-Apr-20, 413
10-Apr-20, 415
17-Apr-20, 401
24-Apr-20, 394
01-May-20, 399
08-May-20, 423
15-May-20, 432
22-May-20, 423
29-May-20, 422
05-Jun-20, 420
12-Jun-20, 441
19-Jun-20, 467
26-Jun-20, 460
03-Jul-20, 439
10-Jul-20, 434
17-Jul-20, 416
24-Jul-20, 382
31-Jul-20, 382
07-Aug-20, 361
14-Aug-20, 362
21-Aug-20, 367
28-Aug-20, 348
04-Sep-20, 326
11-Sep-20, 320
18-Sep-20, 308
25-Sep-20, 273
02-Oct-20, 282
09-Oct-20, 305
16-Oct-20, 338
23-Oct-20, 339
30-Oct-20, 344
06-Nov-20, 336
13-Nov-20, 299
20-Nov-20, 282
27-Nov-20, 315
04-Dec-20, 336
11-Dec-20, 336
18-Dec-20, 336
25-Dec-20, 347
01-Jan-21, 397
08-Jan-21, 535
15-Jan-21, 513
22-Jan-21, 502
29-Jan-21, 502
05-Feb-21, 523
12-Feb-21, 497
19-Feb-21, 489
26-Feb-21, 428
05-Mar-21, 379
12-Mar-21, 362
19-Mar-21, 375
26-Mar-21, 385
02-Apr-21, 364
09-Apr-21, 421
16-Apr-21, 511
23-Apr-21, 495
30-Apr-21, 495
07-May-21, 495
14-May-21, 485
21-May-21, 444
28-May-21, 503
04-Jun-21, 603
11-Jun-21, 699
18-Jun-21, 688
25-Jun-21, 610
02-Jul-21, 593
09-Jul-21, 623
16-Jul-21, 688
23-Jul-21, 697
30-Jul-21, 681
06-Aug-21, 667
13-Aug-21, 547
20-Aug-21, 493
27-Aug-21, 443
03-Sep-21, 363
10-Sep-21, 367
17-Sep-21, 542
24-Sep-21, 523
01-Oct-21, 486
08-Oct-21, 501
15-Oct-21, 472
22-Oct-21, 411
29-Oct-21, 397
05-Nov-21, 387
12-Nov-21, 467
19-Nov-21, 527
26-Nov-21, 583
03-Dec-21, 564
