 North Europe - North America East Coast - FBX22
Date from 13-Dec-19 - to 03-Dec-21
(c) Freightos Limited. Data in this file is copyright and licensed as 'Freightos Data' under the FBX Data License Agreement (https://www.freightos.com/fbx-data-license-agreement/)


Date, Price 
13-Dec-19, 1882
20-Dec-19, 1880
27-Dec-19, 1910
03-Jan-20, 1898
10-Jan-20, 1874
17-Jan-20, 1861
24-Jan-20, 1823
31-Jan-20, 1816
07-Feb-20, 1796
14-Feb-20, 1798
21-Feb-20, 1744
28-Feb-20, 1813
06-Mar-20, 1732
13-Mar-20, 1742
20-Mar-20, 1747
27-Mar-20, 1754
03-Apr-20, 1889
10-Apr-20, 2002
17-Apr-20, 2012
24-Apr-20, 2001
01-May-20, 2003
08-May-20, 1962
15-May-20, 1823
22-May-20, 1829
29-May-20, 1873
05-Jun-20, 1868
12-Jun-20, 1931
19-Jun-20, 1945
26-Jun-20, 1947
03-Jul-20, 1914
10-Jul-20, 1868
17-Jul-20, 1855
24-Jul-20, 1833
31-Jul-20, 1829
07-Aug-20, 1758
14-Aug-20, 1774
21-Aug-20, 1761
28-Aug-20, 1742
04-Sep-20, 1708
11-Sep-20, 1638
18-Sep-20, 1633
25-Sep-20, 1622
02-Oct-20, 1737
09-Oct-20, 1852
16-Oct-20, 1852
23-Oct-20, 1852
30-Oct-20, 1852
06-Nov-20, 1869
13-Nov-20, 1877
20-Nov-20, 1875
27-Nov-20, 1875
04-Dec-20, 1876
11-Dec-20, 1892
18-Dec-20, 1949
25-Dec-20, 1939
01-Jan-21, 1881
08-Jan-21, 1837
15-Jan-21, 1834
22-Jan-21, 1832
29-Jan-21, 1831
05-Feb-21, 1935
12-Feb-21, 2038
19-Feb-21, 2027
26-Feb-21, 2026
05-Mar-21, 2107
12-Mar-21, 2192
19-Mar-21, 2181
26-Mar-21, 2174
02-Apr-21, 2458
09-Apr-21, 3012
16-Apr-21, 3305
23-Apr-21, 3403
30-Apr-21, 3428
07-May-21, 3596
14-May-21, 4299
21-May-21, 4271
28-May-21, 4164
04-Jun-21, 4336
11-Jun-21, 5094
18-Jun-21, 5193
25-Jun-21, 5296
02-Jul-21, 5748
09-Jul-21, 5929
16-Jul-21, 5943
23-Jul-21, 6013
30-Jul-21, 6014
06-Aug-21, 5995
13-Aug-21, 6502
20-Aug-21, 5929
27-Aug-21, 5929
03-Sep-21, 5994
10-Sep-21, 6760
17-Sep-21, 6865
24-Sep-21, 6869
01-Oct-21, 6986
08-Oct-21, 7117
15-Oct-21, 7211
22-Oct-21, 7178
29-Oct-21, 7226
05-Nov-21, 7305
12-Nov-21, 7595
19-Nov-21, 7443
26-Nov-21, 7451
03-Dec-21, 7423
