 Europe - South America East Coast - FBX24
Date from 13-Dec-19 - to 03-Dec-21
(c) Freightos Limited. Data in this file is copyright and licensed as 'Freightos Data' under the FBX Data License Agreement (https://www.freightos.com/fbx-data-license-agreement/)


Date, Price 
13-Dec-19, 904
20-Dec-19, 916
27-Dec-19, 917
03-Jan-20, 910
10-Jan-20, 875
17-Jan-20, 844
24-Jan-20, 844
31-Jan-20, 946
07-Feb-20, 931
14-Feb-20, 973
21-Feb-20, 971
28-Feb-20, 985
06-Mar-20, 1023
13-Mar-20, 994
20-Mar-20, 982
27-Mar-20, 984
03-Apr-20, 1043
10-Apr-20, 956
17-Apr-20, 923
24-Apr-20, 921
01-May-20, 922
08-May-20, 933
15-May-20, 930
22-May-20, 914
29-May-20, 913
05-Jun-20, 913
12-Jun-20, 836
19-Jun-20, 841
26-Jun-20, 843
03-Jul-20, 838
10-Jul-20, 868
17-Jul-20, 875
24-Jul-20, 876
31-Jul-20, 879
07-Aug-20, 890
14-Aug-20, 983
21-Aug-20, 944
28-Aug-20, 944
04-Sep-20, 916
11-Sep-20, 885
18-Sep-20, 884
25-Sep-20, 884
02-Oct-20, 869
09-Oct-20, 875
16-Oct-20, 819
23-Oct-20, 819
30-Oct-20, 819
06-Nov-20, 817
13-Nov-20, 864
20-Nov-20, 867
27-Nov-20, 868
04-Dec-20, 871
11-Dec-20, 858
18-Dec-20, 855
25-Dec-20, 855
01-Jan-21, 853
08-Jan-21, 864
15-Jan-21, 850
22-Jan-21, 850
29-Jan-21, 850
05-Feb-21, 931
12-Feb-21, 931
19-Feb-21, 931
26-Feb-21, 931
05-Mar-21, 918
12-Mar-21, 1112
19-Mar-21, 1118
26-Mar-21, 1118
02-Apr-21, 1179
09-Apr-21, 1414
16-Apr-21, 1473
23-Apr-21, 1473
30-Apr-21, 1515
07-May-21, 2037
14-May-21, 2113
21-May-21, 2054
28-May-21, 2054
04-Jun-21, 2074
11-Jun-21, 2177
18-Jun-21, 2202
25-Jun-21, 2168
02-Jul-21, 2335
09-Jul-21, 2886
16-Jul-21, 3311
23-Jul-21, 3311
30-Jul-21, 3311
06-Aug-21, 3157
13-Aug-21, 3459
20-Aug-21, 3550
27-Aug-21, 3550
03-Sep-21, 3688
10-Sep-21, 3488
17-Sep-21, 3296
24-Sep-21, 3296
01-Oct-21, 3297
08-Oct-21, 3590
15-Oct-21, 3705
22-Oct-21, 3705
29-Oct-21, 3698
05-Nov-21, 3616
12-Nov-21, 3778
19-Nov-21, 3772
26-Nov-21, 3349
03-Dec-21, 3399
