 Europe - South America West Coast - FBX26
Date from 13-Dec-19 - to 03-Dec-21
(c) Freightos Limited. Data in this file is copyright and licensed as 'Freightos Data' under the FBX Data License Agreement (https://www.freightos.com/fbx-data-license-agreement/)


Date, Price 
13-Dec-19, 1479
20-Dec-19, 1508
27-Dec-19, 1518
03-Jan-20, 1419
10-Jan-20, 1430
17-Jan-20, 1419
24-Jan-20, 1400
31-Jan-20, 1407
07-Feb-20, 1477
14-Feb-20, 1513
21-Feb-20, 1486
28-Feb-20, 1681
06-Mar-20, 1578
13-Mar-20, 1591
20-Mar-20, 1544
27-Mar-20, 1544
03-Apr-20, 1527
10-Apr-20, 1603
17-Apr-20, 1625
24-Apr-20, 1570
01-May-20, 1563
08-May-20, 1535
15-May-20, 1516
22-May-20, 1519
29-May-20, 1519
05-Jun-20, 1518
12-Jun-20, 2079
19-Jun-20, 2079
26-Jun-20, 1367
03-Jul-20, 1505
10-Jul-20, 1598
17-Jul-20, 1624
24-Jul-20, 1623
31-Jul-20, 1659
07-Aug-20, 1670
14-Aug-20, 1473
21-Aug-20, 1495
28-Aug-20, 1495
04-Sep-20, 1527
11-Sep-20, 1564
18-Sep-20, 1564
25-Sep-20, 1563
02-Oct-20, 1571
09-Oct-20, 1622
16-Oct-20, 1542
23-Oct-20, 1542
30-Oct-20, 1542
06-Nov-20, 1544
13-Nov-20, 1559
20-Nov-20, 1563
27-Nov-20, 1567
04-Dec-20, 1605
11-Dec-20, 1692
18-Dec-20, 1692
25-Dec-20, 1692
01-Jan-21, 1663
08-Jan-21, 1622
15-Jan-21, 1751
22-Jan-21, 1762
29-Jan-21, 1762
05-Feb-21, 2317
12-Feb-21, 2458
19-Feb-21, 2458
26-Feb-21, 2429
05-Mar-21, 1827
12-Mar-21, 1827
19-Mar-21, 1812
26-Mar-21, 1812
02-Apr-21, 1928
09-Apr-21, 2411
16-Apr-21, 2532
23-Apr-21, 2998
30-Apr-21, 3014
07-May-21, 3043
14-May-21, 3052
21-May-21, 3054
28-May-21, 3060
04-Jun-21, 3176
11-Jun-21, 3707
18-Jun-21, 4792
25-Jun-21, 4798
02-Jul-21, 4766
09-Jul-21, 4601
16-Jul-21, 4463
23-Jul-21, 4463
30-Jul-21, 4463
06-Aug-21, 4623
13-Aug-21, 5255
20-Aug-21, 5319
27-Aug-21, 5327
03-Sep-21, 5249
10-Sep-21, 5562
17-Sep-21, 5622
24-Sep-21, 5622
01-Oct-21, 5613
08-Oct-21, 5482
15-Oct-21, 5558
22-Oct-21, 5558
29-Oct-21, 5558
05-Nov-21, 5226
12-Nov-21, 5373
19-Nov-21, 5501
26-Nov-21, 5501
03-Dec-21, 6088
